"filename", "language", "TypeScript", "JSON with Comments", "JSON", "TypeScript React", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 21, 47
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package-lock.json", "JSON", 0, 0, 30381, 0, 0, 0, 0, 0, 0, 1, 30382
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\package.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 0, 1, 72
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\App.tsx", "TypeScript React", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPrivate.tsx", "TypeScript React", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\LayoutPublic.tsx", "TypeScript React", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\Header.tsx", "TypeScript React", 0, 0, 0, 55, 0, 0, 0, 0, 0, 3, 58
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\Layouts\navigations\SideBar.tsx", "TypeScript React", 0, 0, 0, 93, 0, 0, 0, 0, 0, 10, 103
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\assets\icons\time_management.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\containers\PageContainer.tsx", "TypeScript React", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\LoginForm.tsx", "TypeScript React", 0, 0, 0, 76, 0, 0, 0, 0, 0, 5, 81
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\forms\RegisterForm.tsx", "TypeScript React", 0, 0, 0, 86, 0, 0, 0, 0, 0, 4, 90
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\Checkbox.tsx", "TypeScript React", 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\DateInput.tsx", "TypeScript React", 0, 0, 0, 78, 0, 0, 0, 0, 0, 4, 82
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\EmailInput.tsx", "TypeScript React", 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\InputUtil.tsx", "TypeScript React", 0, 0, 0, 76, 0, 0, 0, 0, 0, 4, 80
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\inputs\Select.tsx", "TypeScript React", 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 60
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\CustomTable.tsx", "TypeScript React", 0, 0, 0, 104, 0, 0, 0, 0, 0, 8, 112
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\Loader.tsx", "TypeScript React", 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\others\Toast.tsx", "TypeScript React", 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\timer\TaskTimer.tsx", "TypeScript React", 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\tracking\modals\DialogWithClose.tsx", "TypeScript React", 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\lastMonths\WorkingStatistics.tsx", "TypeScript React", 0, 0, 0, 45, 0, 0, 0, 0, 1, 4, 50
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\components\userInsights\topProjects\TopProjects.tsx", "TypeScript React", 0, 0, 0, 63, 0, 0, 0, 0, 0, 5, 68
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\api.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\other.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\routes.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\constants\tokenStorage.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\hooks\use-stopwatch.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\index.tsx", "TypeScript React", 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\Team.tsx", "TypeScript React", 0, 0, 0, 73, 0, 0, 0, 0, 0, 8, 81
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployee.tsx", "TypeScript React", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\AddNewEmployeeForm.tsx", "TypeScript React", 0, 0, 0, 74, 0, 0, 0, 0, 0, 6, 80
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberName.tsx", "TypeScript React", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\TeamMemberRole.tsx", "TypeScript React", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\team\components\teamInsigths\TeamMemberInsight.tsx", "TypeScript React", 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\Dashboard.tsx", "TypeScript React", 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\BasicInfo.tsx", "TypeScript React", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\components\TimeInfo.tsx", "TypeScript React", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\dashboard\components\Statistics\index.tsx", "TypeScript React", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\Projects.tsx", "TypeScript React", 0, 0, 0, 94, 0, 0, 0, 0, 0, 10, 104
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectForm.tsx", "TypeScript React", 0, 0, 0, 106, 0, 0, 0, 0, 0, 9, 115
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\AddUsersToProjectModal.tsx", "TypeScript React", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectForm.tsx", "TypeScript React", 0, 0, 0, 83, 0, 0, 0, 0, 0, 6, 89
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\CreateProjectModal.tsx", "TypeScript React", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsers.tsx", "TypeScript React", 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\InvitedUsersTable.tsx", "TypeScript React", 0, 0, 0, 107, 0, 0, 0, 0, 0, 10, 117
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\Project.tsx", "TypeScript React", 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectAccess.tsx", "TypeScript React", 0, 0, 0, 63, 0, 0, 0, 0, 0, 5, 68
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectFilters.tsx", "TypeScript React", 0, 0, 0, 68, 0, 0, 0, 0, 0, 7, 75
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectMenu.tsx", "TypeScript React", 0, 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectName.tsx", "TypeScript React", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\ProjectTabs.tsx", "TypeScript React", 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\TotalTacked.tsx", "TypeScript React", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\ProjectStatistics.tsx", "TypeScript React", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\statistics\components\ProjectWidget.tsx", "TypeScript React", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskForm.tsx", "TypeScript React", 0, 0, 0, 78, 0, 0, 0, 0, 0, 6, 84
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\CreateTaskModal.tsx", "TypeScript React", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\TaskTime.tsx", "TypeScript React", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\Tasks.tsx", "TypeScript React", 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\project\components\tasks\TasksTable.tsx", "TypeScript React", 0, 0, 0, 63, 0, 0, 0, 0, 0, 6, 69
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Statistics.tsx", "TypeScript React", 0, 0, 0, 59, 0, 0, 0, 0, 25, 7, 91
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\StopWatch.tsx", "TypeScript React", 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\Timer.tsx", "TypeScript React", 0, 0, 0, 114, 0, 0, 0, 0, 2, 12, 128
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\components\AccordionItem.tsx", "TypeScript React", 0, 0, 0, 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\tracking\timer\components\DayEntry.tsx", "TypeScript React", 0, 0, 0, 68, 0, 0, 0, 0, 0, 9, 77
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\Login.tsx", "TypeScript React", 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\pages\user\verify-email\MailVerification.tsx", "TypeScript React", 0, 0, 0, 40, 0, 0, 0, 0, 0, 7, 47
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\AdminRoute.tsx", "TypeScript React", 0, 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\MainRouter.tsx", "TypeScript React", 0, 0, 0, 67, 0, 0, 0, 0, 0, 4, 71
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\PrivateRoute.tsx", "TypeScript React", 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\routes\PublicRoute.tsx", "TypeScript React", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\auth.service.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\middleware.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\services\tracking.service.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 12, 80
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\actions.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\projectsSlice.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\reducer.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\projects\types.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\selectors.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\store.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\actions.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 9, 75
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\reducer.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\taskSlice.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\tasks\types.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\Project.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 12, 42
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\Task.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 20, 97
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\types\User.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\actions.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\reducer.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\types.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\store\users\usersSlice.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\types\react-table-config.d.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 5, 9, 121
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\error.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\timer.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 3, 14, 95
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\src\utils\validators.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_frontend\tsconfig.json", "JSON with Comments", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 808, 28, 30477, 2691, 26, 8, 20, 1, 39, 469, 34567